,monarchrunid,ctmmlabel,ctmmsuccess,year,monarchid,runid,releasesiteid,monarchcatchsite,monarchcatchdate,monarchmass,trialdate,dayscaptive,trialsite,samecatchtrial,attachment,transmitterid,transantenna,experiment,temp,tempc,cloud,windspeed,windkph,winddirection,starttime,endtime,timeobs,secobserved,numpoints,firstlandon,fly,dudtime,Release,releaseN,releaseE,lastN,lastE,lastlandcover,euclidiandistance,euclidianbearing
147,20061a,ga,yes,2020,20061,a,1,barb,7/21/2020,0.1818,7/23/2020,2,east,n,transmitter,164.066,straight,roadside,70,21.11111111,clear,3.8,6.1142,NNW,8:47:00,9:42:00,0:55:00,3300,3,grass,fly,NA,east,4646302.165,447037.79,4646297.684,447033.509,crop,6.197283437,223.6924028
148,20064a,gd,yes,2020,20064,a,1,barb,7/21/2020,NA,7/23/2020,2,east,n,transmitter,164.066,straight,roadside,81.5,27.5,mostly clear,3.2,5.1488,NW,11:10:00,12:12:00,1:02:00,3720,3,grass,fly,NA,east,4646301.963,447037.677,4646336.633,446978.661,na,68.44630856,300.4328644
149,20067a,gh,yes,2020,20067,a,1,uthe,7/22/2020,0.1607,7/24/2020,2,east,n,transmitter,165.364,straight,roadside,74,23.33333333,clear,4,6.436,NW,8:08:00,8:54:00,0:46:00,2760,7,grass,fly,NA,east,4646306.339,447036.841,4646372.545,447050.997,roadside,67.70248719,12.06910451
150,20070a,gk,yes,2020,20070,a,1,ad prairie,7/23/2020,0.2219,7/24/2020,1,east,n,transmitter,165.364,straight,roadside,85,29.44444444,clear,3.8,6.1142,NNW,11:00:00,11:48:00,0:48:00,2880,4,grass,fly,NA,east,4646306.586,447036.777,4646290.766,447028.247,crop,17.97312716,208.3331421
151,20077a,gu,yes,2020,20077,a,1,ad prairie,7/25/2020,0.2132,7/27/2020,2,east,n,transmitter,165.364,straight,roadside,84,28.88888889,clear,1.3,2.0917,S,10:53:00,11:10:00,0:17:00,1020,6,soy,fly,NA,east,4646355.981,447038.034,4646019.415,446987.552,crop,340.3308753,188.5302828
152,20078a,gv,yes,2020,20078,a,1,ad prairie,7/25/2020,0.215,7/27/2020,2,east,n,transmitter,165.364,straight,roadside,86,30,clear,3,4.827,S,11:37:00,12:00:00,0:23:00,1380,3,grass,fly,NA,east,4646355.536,447038.091,4646074.205,447075.476,pasture,283.8041046,172.430531
190,20080b,gy,yes,2020,20080,b,2,ad prairie,7/25/2020,0.1775,7/29/2020,4,west,n,transmitter,165.364,straight,roadside,84.5,29.16666667,mostly clear,0.5,0.8045,N,8:37:00,9:37:00,1:00:00,3600,11,common milkweed,fly,NA,west,4646770.574,445432.023,4646832.64,445446.826,roadside,63.80687396,13.41466897
191,20081a,gz,yes,2020,20081,a,2,ad prairie,7/27/2020,0.1828,7/29/2020,2,west,n,transmitter,165.364,straight,roadside,87.5,30.83333333,mostly clear,0.5,0.8045,N,10:05:00,10:26:00,0:21:00,1260,6,common milkweed,fly,NA,west,4646770.299,445432.085,4646673.503,445395.786,crop,103.3783489,200.5563047
192,20082a,ha,yes,2020,20082,a,2,ad prairie,7/27/2020,0.2332,7/29/2020,2,west,n,transmitter,165.364,straight,roadside,92.3,33.5,mostly clear,0,0,N,10:47:00,11:43:00,0:56:00,3360,10,grass,fly,NA,west,4646770.268,445432.074,4646720.161,445539.563,prairie,118.5942518,114.9930188
153,20087a,hg,yes,2020,20087,a,1,ad prairie,7/29/2020,0.1989,7/30/2020,1,east,n,transmitter,165.558,straight,roadside,87,30.55555556,mostly clear,7.3,11.7457,SW,11:21:00,11:34:00,0:13:00,780,4,soy,fly,NA,east,4646408.187,447038.306,4646364.48,446983.987,crop,69.71983656,231.1786069
154,20089a,hj,yes,2020,20089,a,1,ad prairie,7/30/2020,NA,7/31/2020,1,east,n,transmitter,165.558,straight,roadside,73,22.77777778,mostly clear,2.9,4.6661,SW,9:13:00,11:18:00,2:05:00,7500,20,grass,fly,NA,east,4646408.357,447038.533,4645791.149,446466.307,creek,841.6580721,222.834221
155,20091a,hm,yes,2020,20091,a,1,jesse,7/30/2020,0.217,7/31/2020,1,east,n,transmitter,165.158,straight,roadside,83,28.33333333,mostly cloudy,4.5,7.2405,W,13:39:00,13:53:00,0:14:00,840,3,vegetative weedy plant,fly,NA,east,4646407.204,447039.02,4646430.956,446999.486,crop,46.12043647,300.9974191
156,20092a,hn,yes,2020,20092,a,1,jesse,7/30/2020,0.1955,7/31/2020,1,east,n,transmitter,165.158,straight,roadside,88,31.11111111,mostly cloudy,0,0,W,14:07:00,14:51:15,0:44:15,2655,7,vegetative weedy plant,fly,NA,east,4646408.209,447038.445,4646417.227,447006.397,crop,33.29262122,285.716093
157,20094a,hp,yes,2020,20094,a,1,jesse,7/30/2020,0.171,8/1/2020,2,east,n,transmitter,165.157,straight,roadside,77,25,clear,0,0,W,9:37:00,10:15:00,0:38:00,2280,6,soy,fly,NA,east,4646408.649,447038.622,4646412.731,447019.9,crop,19.16183728,282.299836
193,20095a,hq,yes,2020,20095,a,2,jesse,7/30/2020,NA,8/1/2020,2,west,n,transmitter,165.157,straight,roadside,77.5,25.27777778,mostly clear,2.9,4.6661,SSE,10:43:00,11:43:00,1:00:00,3600,13,grass,fly,NA,west,4646771.529,445432.222,4646819.78,445542.301,na,120.189622,66.3306876
194,20097b,ht,yes,2020,20097,b,2,ad prairie,8/1/2020,NA,8/4/2020,3,west,n,transmitter,165.46,straight,roadside,75,23.88888889,mostly clear,0.2,0.3218,SW,14:14:00,14:59:00,0:45:00,2700,6,morning glory,fly,NA,west,4646771.683,445431.967,4647690.401,446130.542,na,1154.144616,37.2486406
195,20105a,hx,yes,2020,20105,a,2,jesse,8/2/2020,0.1578,8/4/2020,2,west,n,transmitter,165.46,straight,roadside,79.8,26.55555556,mostly clear,0.6,0.9654,SW,13:22:00,13:54:00,0:32:00,1920,7,alfalfa,fly,NA,west,4646772.55,445435.837,4647112.896,445444.547,roadside,340.4574332,1.465970911
