monarchrunid,uniqueid,order,date,release,spatialconfig,timecdt,duration,durationsec,behaviorclassification,surface,locatione,locationn,landcoverclassification,turnangle,steplength,bearing,turnwithin
19105a,147,6,7/22/2019,edge,mixed,12:36:00,0:00:01,1,fly,air,525675.8216,4751563.48,rich,0.601243656,129.7676747,182.4298267,TRUE
19105a,148,7,7/22/2019,edge,mixed,12:36:59,0:00:01,1,fly,air,525670.32,4751433.829,rich,,,,
19106a,149,1,7/23/2019,edge,mixed,9:10:00,0:15:00,900,release,grass,525682.0456,4751962.849,rich,,10.63418237,190.0503022,
19106a,150,2,7/23/2019,edge,mixed,9:25:02,0:00:02,2,rest,corn,525680.1898,4751952.378,crop,-85.81733483,8.667352692,104.2329674,
19106a,151,3,7/23/2019,edge,mixed,9:25:06,0:00:02,2,rest,wild bergamot,525688.5911,4751950.247,rich,-15.82020096,5.090453148,88.4127664,
19106a,152,4,7/23/2019,edge,mixed,9:25:10,0:00:02,2,rest,wild bergamot,525693.6796,4751950.388,rich,,,,
19108a,153,1,7/23/2019,edge,mixed,9:39:00,0:02:08,128,release,corn,525681.3918,4751961.664,crop,,24.80712848,178.8349324,
19108a,154,2,7/23/2019,edge,mixed,9:41:10,0:00:32,32,rest,corn,525681.8962,4751936.862,crop,-16.3933204,18.46110245,162.4416119,
19108a,155,3,7/23/2019,edge,mixed,9:41:44,0:00:15,15,rest,wild bergamot,525687.4655,4751919.261,rich,-25.22189084,13.40393295,137.2197211,
19108a,156,4,7/23/2019,edge,mixed,9:42:01,0:00:15,15,rest,wild bergamot,525696.5693,4751909.423,rich,39.77466764,56.48269735,176.9943888,TRUE
19108a,157,5,7/23/2019,edge,mixed,9:42:38,0:00:01,1,fly,air,525699.5309,4751853.018,rich,-0.781630112,94.02633457,176.2127586,TRUE
19108a,158,6,7/23/2019,edge,mixed,9:43:01,0:00:01,1,fly,air,525705.7415,4751759.197,rich,,,,
19119a,159,1,7/23/2019,edge,mixed,10:17:00,0:06:50,410,release,wild bergamot,525684.5597,4751964.426,rich,,33.52899628,155.3804095,
19119a,160,2,7/23/2019,edge,mixed,10:23:57,0:00:01,1,fly,air,525698.5276,4751933.945,rich,57.09739168,14.29588235,212.4778011,TRUE
19119a,161,3,7/23/2019,edge,mixed,10:24:05,0:00:01,1,fly,air,525690.8511,4751921.885,rich,-21.02882582,34.10359807,191.4489753,
19119a,162,4,7/23/2019,edge,mixed,10:24:13,0:00:01,1,fly,air,525684.0817,4751888.46,crop,-21.15028741,46.5314174,170.2986879,
19119a,163,5,7/23/2019,edge,mixed,10:24:21,0:00:01,1,fly,air,525691.9228,4751842.594,rich,2.095697946,84.5538561,172.3943859,
19119a,164,6,7/23/2019,edge,mixed,10:24:29,0:00:01,1,fly,air,525703.1138,4751758.784,rich,,,,
19123a,165,1,7/23/2019,edge,mixed,11:34:00,0:00:30,30,release,grass,525682.1261,4751962.994,rich,,2.20573947,136.0121097,
19123a,166,2,7/23/2019,edge,mixed,11:34:33,0:13:12,792,rest,grass,525683.658,4751961.407,rich,22.49448211,33.85315781,158.5065919,TRUE
19123a,167,3,7/23/2019,edge,mixed,11:47:47,0:00:01,1,fly,air,525696.0616,4751929.908,rich,-28.57444479,23.00897487,129.9321471,TRUE
19123a,168,4,7/23/2019,edge,mixed,11:47:50,0:04:52,292,rest,wild bergamot,525713.705,4751915.139,rich,-13.48174282,9.968053228,116.4504042,TRUE
19123a,169,5,7/23/2019,edge,mixed,11:52:44,0:00:01,1,rest,grass,525722.6296,4751910.699,rich,,,,
19125a,170,1,7/23/2019,edge,mixed,13:35:00,0:09:07,547,release,wild bergamot,525684.8531,4751963.942,rich,,9.55524257,353.670668,
