monarchrunid,uniqueid,order,date,release,spatialconfig,timecdt,duration,durationsec,behaviorclassification,surface,locatione,locationn,landcoverclassification,turnangle,steplength,bearing,turnwithin
19132a,192,3,7/24/2019,corn,mixed,11:54:55,0:00:10,10,rest,corn,525676.3461,4751772.19,crop,52.98980092,29.48528225,75.01881424,
19132a,193,4,7/24/2019,corn,mixed,11:55:15,0:00:01,1,mate,air,525704.8292,4751779.812,rich,-3.948400846,50.63409478,71.0704134,
19132a,194,5,7/24/2019,corn,mixed,11:55:40,0:09:10,550,mate,grass,525752.7249,4751796.238,rich,55.85321048,36.32293597,126.9236239,
19132a,195,6,7/24/2019,corn,mixed,12:04:52,0:00:01,1,mate,air,525781.7628,4751774.417,poor,,,,
19134a,196,1,7/24/2019,corn,mixed,13:07:00,0:01:28,88,release,corn,525675.5829,4751770.99,crop,,1.087410889,233.6844108,
19134a,197,2,7/24/2019,corn,mixed,13:08:30,0:05:39,339,rest,corn,525674.7067,4751770.346,crop,-49.76139274,2.67627084,183.923018,TRUE
19134a,198,3,7/24/2019,corn,mixed,13:14:11,0:00:47,47,rest,corn,525674.5236,4751767.676,crop,19.46347338,16.11159604,203.3864914,
19134a,199,4,7/24/2019,corn,mixed,13:15:00,0:03:13,193,feed,wild bergamot,525668.1284,4751752.888,rich,31.49271429,2.668163181,234.8792057,
19134a,200,5,7/24/2019,corn,mixed,13:18:15,0:00:43,43,feed,wild bergamot,525665.946,4751751.353,rich,-26.29283767,8.768964457,208.586368,TRUE
19134a,201,6,7/24/2019,corn,mixed,13:19:00,0:02:00,120,feed,wild bergamot,525661.7502,4751743.653,rich,-12.6655475,30.64758965,195.9208205,TRUE
19134a,202,7,7/24/2019,corn,mixed,13:23:10,0:00:01,1,fly,air,525653.3433,4751714.181,rich,31.86522655,100.8437295,227.7860471,
19134a,203,8,7/24/2019,corn,mixed,13:25:21,0:00:01,1,fly,air,525578.6543,4751646.424,poor,44.48201089,80.02579116,272.268058,
19134a,204,9,7/24/2019,corn,mixed,13:27:32,0:00:01,1,fly,air,525498.6912,4751649.591,poor,3.647088002,36.27172483,275.915146,TRUE
19134a,205,10,7/24/2019,corn,mixed,13:29:43,0:00:01,1,fly,air,525462.6126,4751653.329,poor,13.51888523,99.31134371,289.4340312,TRUE
19134a,206,11,7/24/2019,corn,mixed,13:31:54,0:00:01,1,fly,air,525368.9595,4751686.372,poor,-11.80953065,56.76052578,277.6245005,
19134a,207,12,7/24/2019,corn,mixed,13:34:05,0:00:01,1,fly,air,525312.7008,4751693.903,rich,,,,
19136a,208,1,7/25/2019,corn,mixed,9:27:00,0:03:16,196,release,corn,525675.7506,4751770.968,crop,,8.030976768,119.8889443,
19136a,209,2,7/25/2019,corn,mixed,9:30:18,0:00:01,1,rest,corn,525682.7134,4751766.966,crop,-65.18115427,4.110798352,54.70779002,TRUE
19136a,210,3,7/25/2019,corn,mixed,9:30:20,0:01:50,110,rest,corn,525686.0687,4751769.341,crop,58.6969136,5.573692134,113.4047036,
19136a,211,4,7/25/2019,corn,mixed,9:32:12,0:01:57,117,feed,wild bergamot,525691.1838,4751767.127,rich,24.70971435,2.765690375,138.114418,
19136a,212,5,7/25/2019,corn,mixed,9:34:11,0:05:37,337,feed,wild bergamot,525693.0303,4751765.068,rich,32.64420343,0.861177618,170.7586214,TRUE
19136a,213,6,7/25/2019,corn,mixed,9:39:50,0:00:02,2,feed,wild bergamot,525693.1686,4751764.218,rich,1.382981401,1.693907483,172.1416028,TRUE
19136a,214,7,7/25/2019,corn,mixed,9:39:54,0:00:02,2,feed,wild bergamot,525693.4002,4751762.54,rich,-68.85489324,6.008946215,103.2867096,TRUE
19136a,215,8,7/25/2019,corn,mixed,9:39:58,0:03:05,185,feed,wild bergamot,525699.2483,4751761.159,rich,9.530969166,15.2398139,112.8176787,TRUE
19136a,216,9,7/25/2019,corn,mixed,9:43:05,0:00:17,17,feed,wild bergamot,525713.2955,4751755.249,rich,124.5140942,0.930019575,237.3317729,TRUE
19136a,217,10,7/25/2019,corn,mixed,9:43:24,0:01:22,82,feed,wild bergamot,525712.5126,4751754.747,rich,-119.6130622,9.044760652,117.7187107,TRUE
19136a,218,11,7/25/2019,corn,mixed,9:44:48,0:04:15,255,feed,wild bergamot,525720.5194,4751750.54,rich,-71.2460997,20.16839679,46.47261103,TRUE
19136a,219,12,7/25/2019,corn,mixed,9:49:05,0:00:33,33,feed,wild bergamot,525735.1424,4751764.43,rich,26.77193682,18.28730715,73.24454785,TRUE
19136a,220,13,7/25/2019,corn,mixed,9:49:40,0:05:30,330,feed,wild bergamot,525752.6533,4751769.702,rich,10.27675546,38.42820724,83.52130331,
19136a,221,14,7/25/2019,corn,mixed,9:55:20,0:00:01,1,fly,air,525790.8361,4751774.038,poor,,,,
19137a,222,1,7/25/2019,corn,mixed,11:12:00,0:07:06,426,release,corn,525674.7839,4751770.432,crop,,0.330966705,127.8324703,
19137a,223,2,7/25/2019,corn,mixed,11:19:08,0:00:32,32,rest,corn,525675.0453,4751770.229,crop,58.5625822,2.248994276,186.3950525,TRUE
19137a,224,3,7/25/2019,corn,mixed,11:19:42,0:01:36,96,rest,corn,525674.7948,4751767.994,crop,-125.8161582,4.714747171,60.57889432,TRUE
19137a,225,4,7/25/2019,corn,mixed,11:21:20,0:00:15,15,rest,corn,525678.9015,4751770.31,crop,83.64369799,5.139934338,144.2225923,TRUE
19137a,226,5,7/25/2019,corn,mixed,11:21:37,0:00:31,31,rest,corn,525681.9065,4751766.14,crop,-99.97430629,35.03867167,44.24828602,
19137a,227,6,7/25/2019,corn,mixed,11:22:20,0:03:27,207,rest,wild bergamot,525706.3554,4751791.239,rich,-41.35953221,58.74765249,2.888753806,
19137a,228,7,7/25/2019,corn,mixed,11:25:49,0:00:07,7,rest,wild bergamot,525709.3161,4751849.912,rich,-43.83944458,6.956416642,319.0493092,TRUE
19137a,229,8,7/25/2019,corn,mixed,11:26:06,0:00:56,56,rest,senesed spiderwort,525704.7568,4751855.166,rich,29.41272156,9.682663677,348.4620308,TRUE
19137a,230,9,7/25/2019,corn,mixed,11:27:04,0:00:59,59,rest,wild bergamot,525702.8201,4751864.653,rich,17.22961653,62.29008774,5.69164732,TRUE
19137a,231,10,7/25/2019,corn,mixed,11:28:05,0:00:21,21,rest,wild bergamot,525708.9977,4751926.636,rich,-40.62209158,9.37613113,325.0695557,TRUE
19137a,232,11,7/25/2019,corn,mixed,11:28:28,0:00:22,22,rest,wild bergamot,525703.6291,4751934.323,rich,33.85263959,166.2774188,358.9221953,TRUE
19137a,233,12,7/25/2019,corn,mixed,11:29:59,0:00:01,1,fly,air,525700.5014,4752100.571,rich,-17.57216061,521.8419751,341.3500347,
19137a,234,13,7/25/2019,corn,mixed,11:44:00,0:00:01,1,fly,air,525533.6238,4752595.011,exit,,,,
19138a,235,1,7/27/2019,grass,mixed,8:33:00,0:02:32,152,release,grass,525561.6533,4751700.942,poor,,2.285009882,163.3319781,
19138a,236,2,7/27/2019,grass,mixed,8:35:34,0:00:22,22,rest,grass,525562.3087,4751698.753,poor,50.29898936,2.635049213,213.6309674,TRUE
19138a,237,3,7/27/2019,grass,mixed,8:35:58,0:00:39,39,rest,common milkweed,525560.8493,4751696.559,poor,-2.157568879,9.071587882,211.4733985,TRUE
19138a,238,4,7/27/2019,grass,mixed,8:36:39,0:03:15,195,rest,grass,525556.113,4751688.822,poor,-60.77866902,6.624815753,150.6947295,TRUE
19138a,239,5,7/27/2019,grass,mixed,8:39:56,0:01:22,82,feed,swamp milkweed,525559.3556,4751683.045,poor,50.38031471,6.137538432,201.0750442,TRUE
19138a,240,6,7/27/2019,grass,mixed,8:41:20,0:00:38,38,rest,grass,525557.1486,4751677.318,poor,63.68072263,4.988983224,264.7557669,TRUE
19138a,241,7,7/27/2019,grass,mixed,8:42:00,0:00:20,20,rest,grass,525552.1805,4751676.862,poor,21.64430142,2.149870405,286.4000683,TRUE
19138a,242,8,7/27/2019,grass,mixed,8:42:40,0:00:45,45,rest,grass,525550.1181,4751677.469,poor,-10.85300846,2.224215691,275.5470598,TRUE
19138a,243,9,7/27/2019,grass,mixed,8:43:45,0:00:20,20,rest,grass,525547.9043,4751677.684,poor,38.80661159,4.018107093,314.3536714,TRUE
19138a,244,10,7/27/2019,grass,mixed,8:44:20,0:00:15,15,rest,grass,525545.0312,4751680.493,poor,-76.07259337,3.180202987,238.281078,TRUE
19138a,245,11,7/27/2019,grass,mixed,8:44:50,0:00:01,1,fly,air,525542.326,4751678.821,poor,,,,
19139a,246,1,7/27/2019,grass,mixed,9:11:00,0:01:16,76,release,grass,525562.6689,4751701.51,poor,,2.183414164,241.4054569,
19139a,247,2,7/27/2019,grass,mixed,9:12:18,0:02:24,144,rest,grass,525560.7518,4751700.465,poor,-63.37812678,4.447635845,178.0273302,TRUE
19139a,248,3,7/27/2019,grass,mixed,9:14:54,0:00:01,1,fly,air,525560.9049,4751696.02,poor,12.69661655,22.43583943,190.7239467,TRUE
19139a,249,4,7/27/2019,grass,mixed,9:15:10,0:00:26,26,rest,grass,525556.7301,4751673.976,poor,64.98140824,1.952140592,255.705355,TRUE
19139a,250,5,7/27/2019,grass,mixed,9:15:41,0:09:17,557,rest,grass,525554.8384,4751673.494,poor,-141.1041086,23.45420753,114.6012464,TRUE
19139a,251,6,7/27/2019,grass,mixed,9:25:00,0:00:33,33,feed,swamp milkweed,525576.1636,4751663.73,poor,168.2605981,2.425865825,282.8618445,TRUE
19139a,252,7,7/27/2019,grass,mixed,9:25:35,0:00:01,1,fly,air,525573.7986,4751664.27,poor,,,,
19140a,253,1,7/27/2019,prairie,mixed,10:01:00,0:00:03,3,release,wild bergamot,525615.7657,4751707.539,rich,,1.164210101,165.0876038,
19140a,254,2,7/27/2019,prairie,mixed,10:01:05,0:01:43,103,rest,grass,525616.0653,4751706.414,rich,26.91260582,1.481372674,192.0002097,TRUE
19140a,255,3,7/27/2019,prairie,mixed,10:02:50,0:09:56,596,feed,wild bergamot,525615.7573,4751704.965,rich,-131.6498046,2.282217465,60.35040503,TRUE
19140a,256,4,7/27/2019,prairie,mixed,10:12:48,0:00:04,4,feed,wild bergamot,525617.7407,4751706.094,rich,-153.864907,0.734080575,266.485498,TRUE
19140a,257,5,7/27/2019,prairie,mixed,10:12:54,0:00:04,4,feed,wild bergamot,525617.008,4751706.049,rich,-37.40145088,1.65508504,229.0840472,TRUE
19140a,258,6,7/27/2019,prairie,mixed,10:13:00,0:00:40,40,feed,wild bergamot,525615.7573,4751704.965,rich,151.3402696,1.842852845,20.4243168,TRUE
19140a,259,7,7/27/2019,prairie,mixed,10:13:42,0:00:07,7,feed,wild bergamot,525616.4004,4751706.692,rich,-174.626215,0.828582138,205.7981018,TRUE
19140a,260,8,7/27/2019,prairie,mixed,10:13:51,0:00:07,7,feed,wild bergamot,525616.0398,4751705.946,rich,-22.04392599,1.877027813,183.7541758,TRUE
19140a,261,9,7/27/2019,prairie,mixed,10:14:00,0:01:58,118,feed,wild bergamot,525615.9169,4751704.073,rich,169.1326659,3.955442964,352.8868417,TRUE
19140a,262,10,7/27/2019,prairie,mixed,10:16:00,0:00:45,45,feed,wild bergamot,525615.4271,4751707.998,rich,-129.7692633,19.1368587,223.1175785,TRUE
19140a,263,11,7/27/2019,prairie,mixed,10:16:56,0:00:43,43,feed,wild bergamot,525602.3471,4751694.029,rich,0,0,180,TRUE
19140a,264,12,7/27/2019,prairie,mixed,10:17:41,0:00:58,58,feed,wild bergamot,525602.3471,4751694.029,rich,0,9.285098102,40.84505772,TRUE
19140a,265,13,7/27/2019,prairie,mixed,10:19:00,0:00:01,1,fly,air,525608.4197,4751701.053,rich,-63.23348084,63.28417015,337.6115769,
19140a,266,14,7/27/2019,prairie,mixed,10:19:11,0:00:45,45,rest,corn,525584.3158,4751759.567,crop,113.4522697,8.132901896,91.06384657,
19140a,267,15,7/27/2019,prairie,mixed,10:20:06,0:00:45,45,rest,corn,525592.4473,4751759.416,crop,73.99185822,31.23858252,165.0557048,
19140a,268,16,7/27/2019,prairie,mixed,10:21:00,0:00:01,1,fly,air,525600.5031,4751729.234,rich,,,,
19142a,269,1,7/27/2019,prairie,mixed,11:15:00,0:00:28,28,release,wild bergamot,525615.474,4751707.347,rich,,0.520130791,151.2471188,
19142a,270,2,7/27/2019,prairie,mixed,11:15:30,0:01:27,87,rest,grass,525615.7242,4751706.891,rich,43.66771903,12.0209938,194.9148378,TRUE
19142a,271,3,7/27/2019,prairie,mixed,11:17:13,0:00:01,1,fly,air,525612.6302,4751695.275,rich,70.12655045,15.0747187,265.0413883,TRUE
19142a,272,4,7/27/2019,prairie,mixed,11:17:30,0:03:15,195,rest,wild bergamot,525597.6119,4751693.972,rich,28.68562449,4.600135725,293.7270128,TRUE
19142a,273,5,7/27/2019,prairie,mixed,11:20:50,0:00:08,8,rest,grass,525593.4006,4751695.823,rich,-46.71834687,12.45801567,247.0086659,TRUE
19142a,274,6,7/27/2019,prairie,mixed,11:21:00,0:00:19,19,rest,grass,525581.9322,4751690.957,rich,17.94174876,11.92939921,264.9504147,
19142a,275,7,7/27/2019,prairie,mixed,11:21:21,0:00:11,11,rest,wild parsnip,525570.0491,4751689.907,poor,34.22272901,7.910547795,299.1731437,
19142a,276,8,7/27/2019,prairie,mixed,11:21:34,0:00:30,30,rest,wild parsnip,525563.142,4751693.763,poor,68.70954377,0.966129002,7.882687448,TRUE
19142a,277,9,7/27/2019,prairie,mixed,11:22:11,0:00:17,17,rest,wild parsnip,525563.2745,4751694.72,poor,-79.06235751,7.597607187,288.8203299,TRUE
19142a,278,10,7/27/2019,prairie,mixed,11:22:30,0:00:32,32,rest,grass,525556.0831,4751697.171,poor,21.57810537,13.27111849,310.3984353,TRUE
19142a,279,11,7/27/2019,prairie,mixed,11:23:04,0:00:12,12,rest,grass,525545.9764,4751705.772,poor,4.137372401,8.841458381,314.5358077,TRUE
19142a,280,12,7/27/2019,prairie,mixed,11:23:18,0:02:53,173,rest,grass,525539.6741,4751711.973,poor,46.05976106,0.481025987,0.595568774,TRUE
19142a,281,13,7/27/2019,prairie,mixed,11:26:13,0:00:22,22,rest,grass,525539.6791,4751712.454,poor,-23.19526518,49.16854151,337.4003036,TRUE
19142a,282,14,7/27/2019,prairie,mixed,11:26:55,0:00:01,1,fly,air,525520.7841,4751757.847,poor,40.73371582,51.99030108,18.13401941,
19142a,283,15,7/27/2019,prairie,mixed,11:27:16,0:00:01,1,fly,air,525536.9656,4751807.255,rich,,,,
19143a,284,1,7/27/2019,prairie,mixed,12:26:00,0:08:06,486,release,wild bergamot,525615.9569,4751707.418,rich,,0.7089426,217.0250696,
19143a,285,2,7/27/2019,prairie,mixed,12:34:08,0:00:10,10,feed,wild bergamot,525615.53,4751706.852,rich,42.06959332,0.983154698,259.094663,TRUE
19143a,286,3,7/27/2019,prairie,mixed,12:34:20,0:00:50,50,feed,wild bergamot,525614.5646,4751706.666,rich,-31.20022373,0.618942356,227.8944392,TRUE
19143a,287,4,7/27/2019,prairie,mixed,12:35:13,0:13:15,795,rest,vegetation,525614.1054,4751706.251,rich,27.64339283,0.969005103,255.5378321,TRUE
19143a,288,5,7/27/2019,prairie,mixed,12:48:30,0:00:03,3,rest,mountain mint,525613.1671,4751706.009,rich,21.11125019,0.958647923,276.6490823,TRUE
19143a,289,6,7/27/2019,prairie,mixed,12:48:35,0:02:15,135,feed,wild bergamot,525612.2149,4751706.12,rich,41.31851574,2.921511118,317.967598,TRUE
19143a,290,7,7/27/2019,prairie,mixed,13:03:50,0:13:00,780,feed,wild bergamot,525610.2588,4751708.29,rich,-23.1424911,1.922115826,294.8251069,TRUE
19143a,291,8,7/27/2019,prairie,mixed,13:04:52,0:01:00,60,feed,wild bergamot,525608.5143,4751709.097,rich,20.20781565,48.48533004,315.0329226,TRUE
19143a,292,9,7/27/2019,prairie,mixed,13:05:01,0:00:01,1,fly,air,525574.2497,4751743.401,rich,45.24426626,29.7033476,0.277188812,
19143a,293,10,7/27/2019,prairie,mixed,13:15:00,0:00:01,1,fly,air,525574.3934,4751773.104,crop,-40.0478913,20.70228695,320.2292975,
19143a,294,11,7/27/2019,prairie,mixed,13:16:00,0:00:01,1,fly,air,525561.1498,4751789.016,crop,,,,
19147a,295,1,7/28/2019,prairie,mixed,8:40:00,0:12:22,742,feed,wild bergamot,525517.0347,4751791.264,rich,,0.611158482,191.447826,
19147a,296,2,7/28/2019,prairie,mixed,8:52:24,0:11:34,694,feed,wild bergamot,525516.9134,4751790.665,rich,3.141592654,0.611158482,11.44782597,TRUE
19147a,297,3,7/28/2019,prairie,mixed,9:04:00,0:00:18,18,feed,wild bergamot,525517.0347,4751791.264,rich,-10.52378061,2.914379007,0.924045353,TRUE
19147a,298,4,7/28/2019,prairie,mixed,9:04:26,0:00:08,8,feed,wild bergamot,525517.0817,4751794.178,rich,-111.9893554,2.367625258,248.93469,TRUE
19147a,299,5,7/28/2019,prairie,mixed,9:04:36,0:01:12,72,feed,wild bergamot,525514.8723,4751793.327,rich,-125.7101647,11.47609969,123.2245252,TRUE
19147a,300,6,7/28/2019,prairie,mixed,9:05:50,0:00:23,23,feed,common milkweed,525524.4724,4751787.039,rich,29.35326383,6.230024771,152.5777891,TRUE
19147a,301,7,7/28/2019,prairie,mixed,9:06:15,0:08:55,535,rest,senesed foxglove,525527.3416,4751781.509,rich,44.70130082,1.514343435,197.2790899,TRUE
19147a,302,8,7/28/2019,prairie,mixed,9:15:24,0:11:21,681,rest,senesed foxglove,525526.8918,4751780.063,rich,32.0842045,7.476271033,229.3632944,TRUE
19147a,303,9,7/28/2019,prairie,mixed,9:27:03,0:00:18,18,rest,common milkweed,525521.2184,4751775.194,rich,20.33773633,17.62083912,249.7010307,TRUE
19147a,304,10,7/28/2019,prairie,mixed,9:27:55,0:00:55,55,rest,common milkweed,525504.6919,4751769.081,rich,-55.65180433,1.926630294,194.0492264,TRUE
19147a,305,11,7/28/2019,prairie,mixed,9:29:00,0:11:00,660,rest,grass,525504.2242,4751767.212,rich,,,,
19149a,306,1,7/28/2019,prairie,mixed,11:49:00,0:00:25,25,release,wild bergamot,525517.1878,4751791.504,rich,,20.6995615,322.2322466,
19149a,307,2,7/28/2019,prairie,mixed,11:49:27,0:02:42,162,feed,wild bergamot,525504.5101,4751807.867,rich,0.738540432,1.841347119,322.9707871,TRUE
19149a,308,3,7/28/2019,prairie,mixed,11:52:11,0:13:04,784,feed,wild bergamot,525503.4012,4751809.337,rich,-174.5062128,1.400887323,148.4645743,TRUE
19149a,309,4,7/28/2019,prairie,mixed,12:05:17,0:00:08,8,rest,vegetation,525504.1339,4751808.143,rich,156.1677092,46.19682509,304.6322834,
19149a,310,5,7/28/2019,prairie,mixed,12:05:59,0:00:01,1,fly ,air,525466.1224,4751834.397,poor,,,,
19151a,311,1,7/28/2019,prairie,mixed,10:29:00,0:01:23,83,release,wild bergamot,525517.2017,4751791.631,rich,,1.648137203,311.6352715,
19151a,312,2,7/28/2019,prairie,mixed,10:30:25,0:12:27,747,rest,grass,525515.9699,4751792.726,rich,132.2820839,6.068163231,83.91735547,TRUE
19151a,313,3,7/28/2019,prairie,mixed,10:42:54,0:00:16,16,feed,wild bergamot,525522.0039,4751793.369,rich,11.40235683,13.3530133,95.3197123,TRUE
19151a,314,4,7/28/2019,prairie,mixed,10:43:12,0:05:08,308,feed,wild bergamot,525535.2994,4751792.131,rich,-68.56248578,10.32004842,26.75722652,
19151a,315,5,7/28/2019,prairie,mixed,10:48:22,0:01:42,102,rest,corn,525539.9456,4751801.346,crop,-124.1014556,0.359852206,262.6557709,
19151a,316,6,7/28/2019,prairie,mixed,10:50:06,0:30:00,1800,rest,grass,525539.5887,4751801.3,rich,,,,
19153a,317,1,7/28/2019,prairie,mixed,12:28:00,0:07:43,463,feed,wild bergamot,525517.516,4751791.817,rich,,0.689524046,199.7410211,
19153a,318,2,7/28/2019,prairie,mixed,12:35:45,0:00:55,55,feed,wild bergamot,525517.2831,4751791.168,rich,88.60948992,2.896807596,288.350511,TRUE
19153a,319,3,7/28/2019,prairie,mixed,12:36:42,0:00:14,14,feed,wild bergamot,525514.5336,4751792.08,rich,-80.10168325,7.883978517,208.2488278,TRUE
19153a,320,4,7/28/2019,prairie,mixed,12:37:26,0:00:24,24,oviposit,common milkweed,525510.8021,4751785.135,rich,-59.85073539,0.469643705,148.3980924,TRUE
19153a,321,5,7/28/2019,prairie,mixed,12:37:52,0:00:20,20,oviposit,common milkweed,525511.0482,4751784.735,rich,45.57390835,2.379397245,193.9720007,TRUE
19153a,322,6,7/28/2019,prairie,mixed,12:38:14,0:01:28,88,oviposit,common milkweed,525510.4737,4751782.426,rich,29.60356172,7.958966418,223.5755625,TRUE
19153a,323,7,7/28/2019,prairie,mixed,12:39:44,0:00:27,27,oviposit,common milkweed,525504.9875,4751776.66,rich,-129.9085361,8.661934521,93.66702639,TRUE
19153a,324,8,7/28/2019,prairie,mixed,12:40:13,0:00:22,22,oviposit,common milkweed,525513.6317,4751776.106,rich,38.21958275,0.706948152,131.8866091,TRUE
19153a,325,9,7/28/2019,prairie,mixed,12:40:37,0:00:20,20,oviposit,common milkweed,525514.158,4751775.634,rich,-10.03097299,6.752803158,121.8556362,TRUE
19153a,326,10,7/28/2019,prairie,mixed,12:40:59,0:00:23,23,oviposit,common milkweed,525519.8937,4751772.07,rich,61.20184165,3.652198795,183.0574778,TRUE
19153a,327,11,7/28/2019,prairie,mixed,12:41:24,0:00:44,44,rest,grass,525519.6989,4751768.423,rich,-9.129830966,2.348175368,173.9276468,TRUE
19153a,328,12,7/28/2019,prairie,mixed,12:42:10,0:08:48,528,rest,grass,525519.9473,4751766.088,rich,96.89843292,1.803387435,270.8260798,TRUE
19153a,329,13,7/28/2019,prairie,mixed,12:51:00,0:00:18,18,rest,grass,525518.1441,4751766.114,rich,-11.28850466,2.549690626,259.5375751,TRUE
19153a,330,14,7/28/2019,prairie,mixed,12:51:20,0:00:07,7,oviposit,common milkweed,525515.6368,4751765.651,rich,-22.93312922,0.89568624,236.6044459,TRUE
19153a,331,15,7/28/2019,prairie,mixed,12:51:28,0:00:07,7,oviposit,common milkweed,525514.889,4751765.158,rich,-111.6215482,0.720350637,124.9828977,TRUE
19153a,332,16,7/28/2019,prairie,mixed,12:51:37,0:00:07,7,oviposit,common milkweed,525515.4792,4751764.745,rich,80.52372311,0.745677015,205.5066208,TRUE
19153a,333,17,7/28/2019,prairie,mixed,12:51:45,0:01:45,105,rest,grass,525515.1581,4751764.072,rich,87.52119183,14.08821864,293.0278126,TRUE
19153a,334,18,7/28/2019,prairie,mixed,12:54:10,0:00:03,3,oviposit,common milkweed,525502.1925,4751769.583,rich,138.7969815,5.950171165,71.82479408,TRUE
19153a,335,19,7/28/2019,prairie,mixed,12:54:15,0:05:00,300,rest,grass,525507.8458,4751771.439,rich,145.8566792,3.292810326,217.6814732,TRUE
19153a,336,20,7/28/2019,prairie,mixed,12:59:17,0:00:11,11,oviposit,common milkweed,525505.833,4751768.833,rich,-125.3244282,0.899661164,92.35704504,TRUE
19153a,337,21,7/28/2019,prairie,mixed,12:59:30,0:00:05,5,rest,grass,525506.7319,4751768.796,rich,132.4176205,15.73218689,224.7746655,
19153a,338,22,7/28/2019,prairie,mixed,12:59:37,0:00:01,1,fly,air,525495.6514,4751757.628,poor,-37.73742478,45.72848501,187.0372407,
19153a,339,23,7/28/2019,prairie,mixed,12:59:40,0:00:01,1,fly,air,525490.049,4751712.244,poor,,,,
19158a,340,1,8/1/2019,edge,mixed,9:51:00,0:00:30,30,release,corn,525539.8245,4751806.784,crop,,0.564808472,202.7150652,
19158a,341,2,8/1/2019,edge,mixed,9:51:32,0:30:00,1800,rest,grass,525539.6064,4751806.263,rich,,,,
19161a,342,1,8/2/2019,corn,mixed,9:06:00,0:08:17,497,release,corn,525545.6888,4751780.584,crop,,1.937742566,119.5615061,
19161a,343,2,8/2/2019,corn,mixed,9:14:19,0:01:20,80,rest,bare ground,525547.3743,4751779.628,crop,-45.877833,5.96212286,73.68367309,TRUE
19161a,344,3,8/2/2019,corn,mixed,9:15:41,0:00:43,43,rest,bare ground,525553.0963,4751781.303,crop,9.445652505,5.023877968,83.1293256,TRUE
19161a,345,4,8/2/2019,corn,mixed,9:16:26,0:00:21,21,rest,corn,525558.0841,4751781.904,crop,-29.04539114,3.027619527,54.08393446,TRUE
19161a,346,5,8/2/2019,corn,mixed,9:16:49,0:03:08,188,rest,bare ground,525560.5361,4751783.68,crop,117.2260012,2.756646014,171.3099357,TRUE
19161a,347,6,8/2/2019,corn,mixed,9:19:59,0:01:21,81,fly,air,525560.9526,4751780.955,crop,,,,
19162a,348,1,8/2/2019,corn,mixed,10:11:00,0:04:35,275,release,corn,525546.0058,4751779.888,crop,,1.775639479,209.3974783,
19162a,349,2,8/2/2019,corn,mixed,10:15:37,0:00:21,21,rest,corn,525545.1342,4751778.341,crop,-130.6548755,2.438312933,78.74260286,TRUE
19162a,350,3,8/2/2019,corn,mixed,10:16:00,0:01:30,90,rest,corn,525547.5256,4751778.817,crop,-5.880960874,8.890996257,72.86164198,TRUE
19162a,351,4,8/2/2019,corn,mixed,10:22:59,0:00:01,1,rest,corn,525556.0218,4751781.437,crop,-18.39054351,19.35250026,54.47109848,TRUE
19162a,352,5,8/2/2019,corn,mixed,10:32:59,0:00:01,1,fly,air,525571.7713,4751792.683,crop,,,,
19163a,353,1,8/2/2019,corn,mixed,11:52:00,0:00:13,13,release,corn,525545.6905,4751779.401,crop,,0.90377334,199.4875088,
19163a,354,2,8/2/2019,corn,mixed,11:52:15,0:30:00,1800,rest,bare ground,525545.389,4751778.549,crop,,,,
19164a,355,1,8/3/2019,grass,mixed,9:54:00,0:03:54,234,release,grass,525784.8643,4751932.345,poor,,0.520397579,299.2150122,
19164a,356,2,8/3/2019,grass,mixed,9:57:56,0:01:01,61,rest,grass,525784.4101,4751932.599,poor,123.0001667,10.35713054,62.21517894,TRUE
19164a,357,3,8/3/2019,grass,mixed,9:59:08,0:00:01,1,fly,air,525793.5731,4751937.427,poor,-15.73130593,8.888130864,46.48387302,TRUE
19164a,358,4,8/3/2019,grass,mixed,9:59:20,0:17:33,1053,rest,grass,525800.0186,4751943.547,poor,47.77477516,23.33723439,94.25864817,
19164a,359,5,8/3/2019,grass,mixed,10:17:05,0:06:03,363,feed,wild bergamot,525823.2914,4751941.814,rich,-65.56658387,6.892285325,28.6920643,
19164a,360,6,8/3/2019,grass,mixed,10:23:10,0:30:50,1850,rest,common milkweed,525826.6004,4751947.86,rich,,,,
19165a,361,1,8/3/2019,grass,mixed,11:16:00,0:00:43,43,release,grass,525784.6842,4751932.043,poor,,5.7445192,166.9430348,
19165a,362,2,8/3/2019,grass,mixed,11:16:54,0:00:06,6,rest,grass,525785.982,4751926.447,poor,-47.30953197,18.82292671,119.6335029,TRUE
19165a,363,3,8/3/2019,grass,mixed,11:17:16,0:00:01,1,fly,air,525802.343,4751917.14,poor,-56.64722128,20.71977282,62.98628158,
19165a,364,4,8/3/2019,grass,mixed,11:17:33,0:09:40,580,feed,wild bergamot,525820.8022,4751926.551,rich,-66.10731873,1.427116775,356.8789629,
19165a,365,5,8/3/2019,grass,mixed,11:27:15,0:00:38,38,feed,wild bergamot,525820.7245,4751927.976,rich,101.6339609,3.985611483,98.51292376,TRUE
19165a,366,6,8/3/2019,grass,mixed,11:27:55,0:00:22,22,feed,wild bergamot,525824.6662,4751927.386,rich,-68.37153821,6.201513122,30.14138555,TRUE
19165a,367,7,8/3/2019,grass,mixed,11:28:19,0:00:27,27,feed,wild bergamot,525827.7802,4751932.749,rich,108.2851929,2.706835687,138.4265784,TRUE
