ctmmlabel,class,occu,release,count
fk,rich,moderate,east,0
fk,crop,high,east,0
fk,crop,low,east,0
fk,crop,moderate,east,0
fk,edge,low,east,0
fk,edge,moderate,east,0
fk,edge,high,east,0
fm,crop,high,east,25
fm,crop,low,east,16415
fm,crop,moderate,east,70
fm,edge,low,east,4401
fm,edge,moderate,east,0
fm,edge,high,east,0
fm,poor,high,east,5
fm,poor,low,east,1575
fm,poor,moderate,east,28
fm,rich,low,east,1924
fm,rich,moderate,east,0
fm,rich,high,east,0
ga,poor,low,east,2
ga,poor,moderate,east,0
ga,poor,high,east,0
ga,rich,low,east,0
ga,rich,moderate,east,0
ga,rich,high,east,0
ga,crop,high,east,0
ga,crop,low,east,0
ga,crop,moderate,east,0
ga,edge,high,east,0
ga,edge,low,east,0
ga,edge,moderate,east,0
gd,poor,low,east,2
gd,poor,moderate,east,0
gd,poor,high,east,0
gd,rich,low,east,0
gd,rich,moderate,east,0
gd,rich,high,east,0
gd,crop,high,east,0
gd,crop,low,east,0
gd,crop,moderate,east,0
gd,edge,high,east,0
gd,edge,low,east,0
gd,edge,moderate,east,0
gh,edge,moderate,east,0
gh,edge,high,east,0
gh,edge,low,east,23
gh,poor,low,east,60
gh,poor,moderate,east,0
gh,poor,high,east,0
gh,rich,low,east,0
gh,rich,moderate,east,0
gh,rich,high,east,0
gh,crop,high,east,0
gh,crop,low,east,0
gh,crop,moderate,east,0
gk,crop,moderate,east,0
gk,crop,high,east,0
gk,crop,low,east,5
gk,edge,low,east,28
gk,edge,moderate,east,0
gk,edge,high,east,0
gk,poor,low,east,0
gk,poor,moderate,east,0
gk,poor,high,east,0
gk,rich,low,east,0
gk,rich,moderate,east,0
gk,rich,high,east,0
gu,crop,moderate,east,0
gu,crop,high,east,0
gu,crop,low,east,5
gu,edge,low,east,28
gu,edge,moderate,east,0
gu,edge,high,east,0
gu,poor,low,east,0
gu,poor,moderate,east,0
gu,poor,high,east,0
gu,rich,low,east,0
gu,rich,moderate,east,0
gu,rich,high,east,0
gv,crop,high,east,0
gv,crop,low,east,261966
gv,crop,moderate,east,2392
gv,edge,low,east,64160
gv,edge,moderate,east,0
gv,edge,high,east,0
gv,poor,low,east,66896
gv,poor,moderate,east,4575
gv,poor,high,east,0
gv,rich,low,east,0
gv,rich,moderate,east,0
gv,rich,high,east,0
hg,crop,high,east,0
hg,crop,low,east,54480
hg,crop,moderate,east,1
hg,edge,low,east,3748
hg,edge,moderate,east,0
hg,edge,high,east,0
hg,poor,low,east,1147
hg,poor,moderate,east,0
hg,poor,high,east,0
hg,rich,high,east,0
hg,rich,low,east,0
hg,rich,moderate,east,0
hj,crop,high,east,0
hj,crop,low,east,54480
hj,crop,moderate,east,1
hj,edge,low,east,3748
hj,edge,moderate,east,0
hj,edge,high,east,0
hj,poor,low,east,1147
hj,poor,moderate,east,0
hj,poor,high,east,0
hj,rich,high,east,0
hj,rich,low,east,0
hj,rich,moderate,east,0
hm,crop,high,east,0
hm,crop,moderate,east,0
hm,crop,low,east,2368
hm,edge,high,east,0
hm,edge,moderate,east,0
hm,edge,low,east,367
hm,poor,low,east,48
hm,poor,high,east,0
hm,poor,moderate,east,0
hm,rich,high,east,0
hm,rich,low,east,0
hm,rich,moderate,east,0
hn,crop,high,east,0
hn,crop,moderate,east,0
hn,crop,low,east,2812
hn,edge,low,east,245
hn,edge,high,east,0
hn,edge,moderate,east,0
hn,poor,low,east,259
hn,poor,high,east,0
hn,poor,moderate,east,0
hn,rich,high,east,0
hn,rich,low,east,0
hn,rich,moderate,east,0
hp,crop,moderate,east,0
hp,crop,high,east,0
hp,crop,low,east,364
hp,edge,low,east,91
hp,edge,moderate,east,0
hp,edge,high,east,0
hp,poor,low,east,56
hp,poor,moderate,east,0
hp,poor,high,east,0
hp,rich,high,east,0
hp,rich,low,east,0
hp,rich,moderate,east,0
az,edge,high,edge,2
az,edge,low,edge,81421
az,edge,moderate,edge,1241
az,poor,low,edge,490101
az,poor,moderate,edge,0
az,poor,high,edge,0
az,rich,low,edge,574445
az,rich,moderate,edge,2431
az,rich,high,edge,0
az,crop,low,edge,0
az,crop,moderate,edge,0
az,crop,high,edge,0
bj,edge,low,edge,1
bj,edge,moderate,edge,0
bj,edge,high,edge,0
bj,rich,low,edge,2
bj,rich,moderate,edge,0
bj,rich,high,edge,0
bj,crop,low,edge,0
bj,crop,moderate,edge,0
bj,crop,high,edge,0
bj,poor,low,edge,0
bj,poor,moderate,edge,0
bj,poor,high,edge,0
bl,crop,low,edge,1827305
bl,crop,moderate,edge,0
bl,crop,high,edge,0
bl,edge,low,edge,453837
bl,edge,moderate,edge,1
bl,edge,high,edge,0
bl,poor,low,edge,254621
bl,poor,moderate,edge,0
bl,poor,high,edge,0
bl,rich,low,edge,7241144
bl,rich,moderate,edge,0
bl,rich,high,edge,0
bm,edge,high,edge,1
bm,edge,low,edge,56
bm,edge,moderate,edge,0
bm,rich,low,edge,42
bm,rich,moderate,edge,0
bm,rich,high,edge,0
bm,poor,low,edge,0
bm,poor,moderate,edge,0
bm,poor,high,edge,0
bm,crop,low,edge,0
bm,crop,moderate,edge,0
bm,crop,high,edge,0
bn,edge,high,edge,11
bn,edge,low,edge,8731
bn,edge,moderate,edge,60
bn,rich,high,edge,1
bn,rich,low,edge,25452
bn,rich,moderate,edge,10
bn,poor,low,edge,0
bn,poor,moderate,edge,0
bn,poor,high,edge,0
