Date,Time,Antenna,Power,Tower,M_ID,Year
8/3/2019,19:19:39,4,62,T2,168,2019
8/3/2019,19:19:41,4,62,T2,168,2019
8/3/2019,19:19:43,4,62,T2,168,2019
8/3/2019,19:19:46,1,60,T2,168,2019
8/3/2019,19:19:48,1,60,T2,168,2019
8/3/2019,19:19:49,1,59,T2,168,2019
8/3/2019,19:19:52,2,63,T2,168,2019
8/3/2019,19:19:54,2,63,T2,168,2019
8/3/2019,19:19:57,3,76,T2,168,2019
8/3/2019,19:19:59,3,76,T2,168,2019
8/3/2019,19:20:01,3,77,T2,168,2019
8/3/2019,19:20:04,4,63,T2,168,2019
8/3/2019,19:20:05,4,62,T2,168,2019
8/3/2019,19:20:07,4,62,T2,168,2019
8/3/2019,19:20:10,1,60,T2,168,2019
8/3/2019,19:20:12,1,61,T2,168,2019
8/3/2019,19:20:15,2,62,T2,168,2019
8/3/2019,19:20:17,2,72,T2,168,2019
8/3/2019,19:20:18,2,73,T2,168,2019
8/3/2019,19:20:22,3,77,T2,168,2019
8/3/2019,19:20:23,3,78,T2,168,2019
8/3/2019,19:20:25,3,78,T2,168,2019
8/3/2019,19:20:28,4,59,T2,168,2019
8/3/2019,19:20:30,4,64,T2,168,2019
8/3/2019,19:20:31,4,73,T2,168,2019
8/3/2019,19:20:35,1,74,T2,168,2019
8/3/2019,19:20:36,1,61,T2,168,2019
8/3/2019,19:20:46,3,78,T2,168,2019
8/3/2019,19:20:48,3,70,T2,168,2019
8/3/2019,19:20:49,3,76,T2,168,2019
8/3/2019,19:20:52,4,67,T2,168,2019
8/3/2019,19:20:54,4,69,T2,168,2019
8/3/2019,19:20:57,1,60,T2,168,2019
8/3/2019,19:20:59,1,60,T2,168,2019
8/3/2019,19:21:01,1,60,T2,168,2019
8/3/2019,19:21:04,2,58,T2,168,2019
8/3/2019,19:21:05,2,56,T2,168,2019
8/3/2019,19:21:07,2,57,T2,168,2019
8/3/2019,19:21:10,3,74,T2,168,2019
8/3/2019,19:21:12,3,74,T2,168,2019
8/3/2019,19:21:13,3,74,T2,168,2019
8/3/2019,19:21:17,4,67,T2,168,2019
8/3/2019,19:21:18,4,68,T2,168,2019
8/3/2019,19:21:23,1,59,T2,168,2019
8/3/2019,19:21:25,1,59,T2,168,2019
8/3/2019,19:21:28,2,58,T2,168,2019
8/3/2019,19:21:30,2,62,T2,168,2019
8/3/2019,19:21:31,2,60,T2,168,2019
8/3/2019,19:21:34,3,76,T2,168,2019
8/3/2019,19:21:36,3,77,T2,168,2019
8/3/2019,19:21:39,4,69,T2,168,2019
8/3/2019,19:21:41,4,77,T2,168,2019
8/3/2019,19:21:42,4,81,T2,168,2019
8/3/2019,19:21:46,1,79,T2,168,2019
8/3/2019,19:21:47,1,80,T2,168,2019
8/3/2019,19:21:49,1,81,T2,168,2019
8/3/2019,19:21:52,2,86,T2,168,2019
8/3/2019,19:21:54,2,85,T2,168,2019
8/3/2019,19:21:55,2,87,T2,168,2019
8/3/2019,19:21:59,3,89,T2,168,2019
8/3/2019,19:22:00,3,96,T2,168,2019
8/3/2019,19:22:03,4,76,T2,168,2019
8/3/2019,19:22:05,4,80,T2,168,2019
8/3/2019,19:22:07,4,92,T2,168,2019
8/3/2019,19:22:10,1,85,T2,168,2019
8/3/2019,19:22:12,1,81,T2,168,2019
8/3/2019,19:22:16,2,87,T2,168,2019
8/3/2019,19:22:18,2,57,T2,168,2019
8/3/2019,19:22:21,3,71,T2,168,2019
8/3/2019,19:22:23,3,60,T2,168,2019
8/3/2019,19:22:28,4,64,T2,168,2019
8/3/2019,19:22:34,1,55,T2,168,2019
8/3/2019,19:22:36,1,75,T2,168,2019
8/3/2019,19:22:46,3,69,T2,168,2019
8/3/2019,19:22:47,3,53,T2,168,2019
8/3/2019,19:22:49,3,60,T2,168,2019
8/3/2019,19:22:57,1,68,T2,168,2019
8/3/2019,19:22:59,1,68,T2,168,2019
8/3/2019,19:23:00,1,68,T2,168,2019
8/3/2019,19:23:07,2,62,T2,168,2019
8/3/2019,19:23:10,3,73,T2,168,2019
8/3/2019,19:23:12,3,73,T2,168,2019
8/3/2019,19:23:13,3,73,T2,168,2019
8/3/2019,19:23:23,1,65,T2,168,2019
8/3/2019,19:23:25,1,66,T2,168,2019
8/3/2019,19:23:28,2,61,T2,168,2019
8/3/2019,19:23:29,2,61,T2,168,2019
8/3/2019,19:23:31,2,61,T2,168,2019
8/3/2019,19:23:34,3,72,T2,168,2019
8/3/2019,19:23:46,1,65,T2,168,2019
8/3/2019,19:23:47,1,65,T2,168,2019
8/3/2019,19:23:49,1,65,T2,168,2019
8/3/2019,19:23:52,2,59,T2,168,2019
8/3/2019,19:23:54,2,62,T2,168,2019
8/3/2019,19:23:55,2,61,T2,168,2019
8/3/2019,19:23:58,3,72,T2,168,2019
8/3/2019,19:24:00,3,72,T2,168,2019
8/3/2019,19:24:10,1,66,T2,168,2019
8/3/2019,19:24:11,1,66,T2,168,2019
8/3/2019,19:24:13,1,64,T2,168,2019
8/3/2019,19:24:16,2,61,T2,168,2019
8/3/2019,19:24:18,2,61,T2,168,2019
8/3/2019,19:24:19,2,61,T2,168,2019
8/3/2019,19:24:22,3,71,T2,168,2019
8/3/2019,19:24:24,3,72,T2,168,2019
8/3/2019,19:24:34,1,66,T2,168,2019
8/3/2019,19:24:35,1,65,T2,168,2019
8/3/2019,19:24:37,1,65,T2,168,2019
8/3/2019,19:24:40,2,60,T2,168,2019
8/3/2019,19:24:42,2,60,T2,168,2019
8/3/2019,19:24:43,2,61,T2,168,2019
8/3/2019,19:24:47,3,72,T2,168,2019
8/3/2019,19:24:48,3,72,T2,168,2019
8/3/2019,19:24:58,1,65,T2,168,2019
8/3/2019,19:24:59,1,65,T2,168,2019
8/3/2019,19:25:01,1,65,T2,168,2019
8/3/2019,19:25:04,2,61,T2,168,2019
8/3/2019,19:25:06,2,60,T2,168,2019
8/3/2019,19:25:07,2,60,T2,168,2019
8/3/2019,19:25:11,3,72,T2,168,2019
8/3/2019,19:25:12,3,72,T2,168,2019
8/3/2019,19:25:22,1,66,T2,168,2019
