"","Tower","T_N","T_E","T_Lat","T_Long","Antenna","EstAzimuth","CalcAzimuth","Date","L_ID","L_Lat","L_Long","L_N","L_E","Power"
"135","T5",4751833.976,525536.961,42.91869874,-92.6871075,5,289,304.511136666603,"7/8/2019","C4",42.91955196,-92.68880206,4751928.211,525398.307,78
"136","T5",4751833.976,525536.961,42.91869874,-92.6871075,4,346,304.511136666603,"7/8/2019","C4",42.91955196,-92.68880206,4751928.211,525398.307,66
"137","T7",4751587.388,525295.045,42.91648625,-92.69008267,3,20,44.4252751659768,"7/8/2019","D8",42.9175795,-92.68861948,4751709.231,525414.019,84
"138","T7",4751587.388,525295.045,42.91648625,-92.69008267,2,70,44.4252751659768,"7/8/2019","D8",42.9175795,-92.68861948,4751709.231,525414.019,70
"139","T7",4751587.388,525295.045,42.91648625,-92.69008267,1,134,44.4252751659768,"7/8/2019","D8",42.9175795,-92.68861948,4751709.231,525414.019,79
"140","T4",4751820.777,525286.266,42.91858823,-92.6901797,4,4,131.438915987238,"7/8/2019","D8",42.9175795,-92.68861948,4751709.231,525414.019,63
"141","T4",4751820.777,525286.266,42.91858823,-92.6901797,3,65,131.438915987238,"7/8/2019","D8",42.9175795,-92.68861948,4751709.231,525414.019,59
"142","T4",4751820.777,525286.266,42.91858823,-92.6901797,2,124,131.438915987238,"7/8/2019","D8",42.9175795,-92.68861948,4751709.231,525414.019,76
"143","T4",4751820.777,525286.266,42.91858823,-92.6901797,1,194,131.438915987238,"7/8/2019","D8",42.9175795,-92.68861948,4751709.231,525414.019,90
"144","T5",4751833.976,525536.961,42.91869874,-92.6871075,2,97,224.692341270894,"7/8/2019","D8",42.9175795,-92.68861948,4751709.231,525414.019,91
"145","T5",4751833.976,525536.961,42.91869874,-92.6871075,1,159,224.692341270894,"7/8/2019","D8",42.9175795,-92.68861948,4751709.231,525414.019,85
"146","T5",4751833.976,525536.961,42.91869874,-92.6871075,5,289,224.692341270894,"7/8/2019","D8",42.9175795,-92.68861948,4751709.231,525414.019,82
"147","T5",4751833.976,525536.961,42.91869874,-92.6871075,4,346,224.692341270894,"7/8/2019","D8",42.9175795,-92.68861948,4751709.231,525414.019,80
"148","T8",4751595.309,525539.333,42.91654944,-92.68708931,3,0,312.589741741543,"7/8/2019","D8",42.9175795,-92.68861948,4751709.231,525414.019,69
"149","T7",4751587.388,525295.045,42.91648625,-92.69008267,3,20,19.0017445824196,"7/8/2019","C3",42.9197041,-92.6885695,4751945.176,525417.225,69.5
"150","T4",4751820.777,525286.266,42.91858823,-92.6901797,4,4,46.5794413514911,"7/8/2019","C3",42.9197041,-92.6885695,4751945.176,525417.225,71
"151","T4",4751820.777,525286.266,42.91858823,-92.6901797,3,65,46.5794413514911,"7/8/2019","C3",42.9197041,-92.6885695,4751945.176,525417.225,59
"152","T4",4751820.777,525286.266,42.91858823,-92.6901797,2,124,46.5794413514911,"7/8/2019","C3",42.9197041,-92.6885695,4751945.176,525417.225,76
"153","T4",4751820.777,525286.266,42.91858823,-92.6901797,1,194,46.5794413514911,"7/8/2019","C3",42.9197041,-92.6885695,4751945.176,525417.225,59.5
"154","T1",4752044.757,525279.398,42.92060542,-92.69025374,4,36,126.15784626866,"7/8/2019","C3",42.9197041,-92.6885695,4751945.176,525417.225,60
"155","T2",4752058.259,525528.872,42.92071869,-92.68719639,1,108,224.743566975221,"7/8/2019","C3",42.9197041,-92.6885695,4751945.176,525417.225,61
"156","T2",4752058.259,525528.872,42.92071869,-92.68719639,2,169,224.743566975221,"7/8/2019","C3",42.9197041,-92.6885695,4751945.176,525417.225,78
"157","T2",4752058.259,525528.872,42.92071869,-92.68719639,3,230,224.743566975221,"7/8/2019","C3",42.9197041,-92.6885695,4751945.176,525417.225,60
"158","T2",4752058.259,525528.872,42.92071869,-92.68719639,4,288,224.743566975221,"7/8/2019","C3",42.9197041,-92.6885695,4751945.176,525417.225,56.5
"159","T5",4751833.976,525536.961,42.91869874,-92.6871075,3,39,313.199310110995,"7/8/2019","C3",42.9197041,-92.6885695,4751945.176,525417.225,84
"160","T5",4751833.976,525536.961,42.91869874,-92.6871075,2,97,313.199310110995,"7/8/2019","C3",42.9197041,-92.6885695,4751945.176,525417.225,69
"161","T5",4751833.976,525536.961,42.91869874,-92.6871075,8,115,313.199310110995,"7/8/2019","C3",42.9197041,-92.6885695,4751945.176,525417.225,77
"162","T5",4751833.976,525536.961,42.91869874,-92.6871075,1,159,313.199310110995,"7/8/2019","C3",42.9197041,-92.6885695,4751945.176,525417.225,76
"163","T5",4751833.976,525536.961,42.91869874,-92.6871075,7,173,313.199310110995,"7/8/2019","C3",42.9197041,-92.6885695,4751945.176,525417.225,73
"164","T5",4751833.976,525536.961,42.91869874,-92.6871075,5,289,313.199310110995,"7/8/2019","C3",42.9197041,-92.6885695,4751945.176,525417.225,79
"165","T5",4751833.976,525536.961,42.91869874,-92.6871075,4,346,313.199310110995,"7/8/2019","C3",42.9197041,-92.6885695,4751945.176,525417.225,82
"166","T7",4751587.388,525295.045,42.91648625,-92.69008267,3,20,52.3245701317254,"7/8/2019","D9",42.91743662,-92.6884021,4751693.43,525431.82,81
"167","T7",4751587.388,525295.045,42.91648625,-92.69008267,2,70,52.3245701317254,"7/8/2019","D9",42.91743662,-92.6884021,4751693.43,525431.82,70
"168","T7",4751587.388,525295.045,42.91648625,-92.69008267,1,134,52.3245701317254,"7/8/2019","D9",42.91743662,-92.6884021,4751693.43,525431.82,80
"169","T7",4751587.388,525295.045,42.91648625,-92.69008267,4,322,52.3245701317254,"7/8/2019","D9",42.91743662,-92.6884021,4751693.43,525431.82,67
"170","T4",4751820.777,525286.266,42.91858823,-92.6901797,4,4,131.496566829916,"7/8/2019","D9",42.91743662,-92.6884021,4751693.43,525431.82,59
